EKG,T,,,,,0
318,12615,,,,,
322,12627,,,,,
329,12639,,,,,
333,12650,,,,,
339,12661,,,,,
346,12673,,,,,
349,12684,,,,,
358,12696,,,,,
366,12707,,,,,
377,12719,,,,,
384,12730,,,,,
393,12741,,,,,
392,12752,,,,,
389,12765,,,,,
380,12776,,,,,
358,12787,,,,,
336,12798,,,,,
319,12810,,,,,
309,12821,,,,,
308,12833,,,,,
305,12845,,,,,
305,12856,,,,,
306,12867,,,,,
308,12878,,,,,
309,12891,,,,,
310,12902,,,,,
315,12913,,,,,
318,12924,,,,,
320,12936,,,,,
319,12947,,,,,
321,12959,,,,,
325,12971,,,,,
320,12982,,,,,
319,12993,,,,,
319,13004,,,,,
328,13016,,,,,
336,13028,,,,,
336,13039,,,,,
332,13050,,,,,
325,13062,,,,,
319,13073,,,,,
316,13084,,,,,
318,13096,,,,,
317,13108,,,,,
319,13119,,,,,
312,13130,,,,,
321,13142,,,,,
559,13153,,,,,
630,13165,,,,,
261,13176,,,,,
228,13188,,,,,
291,13199,,,,,
317,13210,,,,,
322,13221,,,,,
328,13234,,,,,
332,13245,,,,,
339,13256,,,,,
343,13267,,,,,
347,13279,,,,,
355,13291,,,,,
363,13302,,,,,
374,13314,,,,,
381,13325,,,,,
394,13336,,,,,
399,13347,,,,,
402,13360,,,,,
398,13371,,,,,
384,13382,,,,,
366,13393,,,,,
342,13405,,,,,
325,13416,,,,,
311,13428,,,,,
305,13440,,,,,
304,13451,,,,,
305,13462,,,,,
305,13473,,,,,
305,13485,,,,,
311,13497,,,,,
311,13508,,,,,
315,13519,,,,,
317,13531,,,,,
318,13542,,,,,
320,13553,,,,,
319,13565,,,,,
320,13577,,,,,
318,13588,,,,,
327,13599,,,,,
332,13611,,,,,
329,13623,,,,,
327,13634,,,,,
318,13645,,,,,
317,13657,,,,,
314,13668,,,,,
314,13679,,,,,
317,13691,,,,,
313,13703,,,,,
292,13714,,,,,
417,13725,,,,,
660,13736,,,,,
433,13748,,,,,
205,13760,,,,,
263,13771,,,,,
307,13783,,,,,
317,13794,,,,,
319,13805,,,,,
326,13816,,,,,
331,13829,,,,,
336,13840,,,,,
342,13851,,,,,
347,13862,,,,,
357,13874,,,,,
364,13885,,,,,
375,13897,,,,,
386,13908,,,,,
394,13920,,,,,
397,13931,,,,,
395,13942,,,,,
388,13954,,,,,
368,13966,,,,,
348,13977,,,,,
327,13988,,,,,
315,14000,,,,,
309,14011,,,,,
306,14023,,,,,
306,14034,,,,,
305,14046,,,,,
310,14057,,,,,
311,14068,,,,,
313,14080,,,,,
317,14092,,,,,
316,14103,,,,,
319,14114,,,,,
321,14126,,,,,
324,14137,,,,,
322,14148,,,,,
321,14160,,,,,
327,14172,,,,,
336,14183,,,,,
335,14194,,,,,
331,14205,,,,,
325,14217,,,,,
318,14229,,,,,
317,14240,,,,,
319,14252,,,,,
315,14263,,,,,
319,14274,,,,,
301,14285,,,,,
326,14298,,,,,
588,14309,,,,,
634,14320,,,,,
279,14331,,,,,
249,14343,,,,,
298,14355,,,,,
312,14366,,,,,
318,14377,,,,,
320,14389,,,,,
325,14400,,,,,
331,14411,,,,,
334,14424,,,,,
343,14435,,,,,
347,14446,,,,,
357,14457,,,,,
365,14469,,,,,
378,14480,,,,,
385,14492,,,,,
387,14503,,,,,
391,14515,,,,,
384,14526,,,,,
372,14537,,,,,
353,14548,,,,,
331,14561,,,,,
317,14572,,,,,
307,14583,,,,,
305,14595,,,,,
304,14606,,,,,
308,14617,,,,,
309,14629,,,,,
312,14641,,,,,
315,14652,,,,,
314,14663,,,,,
315,14674,,,,,
316,14686,,,,,
318,14698,,,,,
321,14709,,,,,
322,14721,,,,,
319,14732,,,,,
327,14743,,,,,
338,14755,,,,,
332,14767,,,,,
332,14778,,,,,
322,14789,,,,,
316,14800,,,,,
317,14812,,,,,
